registradoEm,nomeEpisodio,animeNome,temporada,loreNome,modeloLlm,statusFinal,totalLinhas,falasTraduzidas,falasDoCache,tempoTotalMs,quantidadeAvisos
2026-07-23T23:29:22.133240300Z,Mobile.Suit.Gundam.The.08th.MS.Team.S00E02_Track2.ass,[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Mobile Suit Gundam: The 08th MS Team,current,CONCLUIDO,92,89,0,75450,0
2026-07-23T23:30:58.882371200Z,Mobile.Suit.Gundam.The.08th.MS.Team.S01E01_Track3.ass,[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Mobile Suit Gundam: The 08th MS Team,,FALHOU,0,0,0,0,1
2026-07-23T23:35:25.808701700Z,Mobile.Suit.Gundam.The.08th.MS.Team.S01E02_Track3.ass,[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Mobile Suit Gundam: The 08th MS Team,current,PARCIAL,337,324,0,266922,1
2026-07-23T23:40:50.028983100Z,Mobile.Suit.Gundam.The.08th.MS.Team.S01E03_Track3.ass,[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Mobile Suit Gundam: The 08th MS Team,current,PARCIAL,412,392,0,324216,3
2026-07-24T00:02:41.844410600Z,Mobile.Suit.Gundam.The.08th.MS.Team.S00E02_Track2.ass,[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Mobile Suit Gundam: The 08th MS Team,mistralai/mistral-nemo-instruct-2407,CONCLUIDO,92,89,0,74562,0
2026-07-24T00:07:15.872395100Z,Mobile.Suit.Gundam.The.08th.MS.Team.S01E01_Track3.ass,[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Mobile Suit Gundam: The 08th MS Team,mistralai/mistral-nemo-instruct-2407,PARCIAL,356,342,0,274022,3
2026-07-24T00:11:46.710328Z,Mobile.Suit.Gundam.The.08th.MS.Team.S01E02_Track3.ass,[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Mobile Suit Gundam: The 08th MS Team,mistralai/mistral-nemo-instruct-2407,CONCLUIDO,337,324,0,270833,0
2026-07-24T00:17:19.990192500Z,Mobile.Suit.Gundam.The.08th.MS.Team.S01E03_Track3.ass,[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Mobile Suit Gundam: The 08th MS Team,mistralai/mistral-nemo-instruct-2407,PARCIAL,412,392,0,333276,5
2026-07-24T00:23:04.148436600Z,Mobile.Suit.Gundam.The.08th.MS.Team.S01E04_Track3.ass,[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Mobile Suit Gundam: The 08th MS Team,mistralai/mistral-nemo-instruct-2407,PARCIAL,411,393,0,344154,4
2026-07-24T00:28:51.350850100Z,Mobile.Suit.Gundam.The.08th.MS.Team.S01E05_Track3.ass,[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Mobile Suit Gundam: The 08th MS Team,mistralai/mistral-nemo-instruct-2407,PARCIAL,480,453,0,347195,1
2026-07-24T00:33:47.683226900Z,Mobile.Suit.Gundam.The.08th.MS.Team.S01E06_Track3.ass,[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Mobile Suit Gundam: The 08th MS Team,mistralai/mistral-nemo-instruct-2407,PARCIAL,392,372,0,296328,5
2026-07-24T00:37:25.302372300Z,Mobile.Suit.Gundam.The.08th.MS.Team.S01E07_Track3.ass,[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Mobile Suit Gundam: The 08th MS Team,mistralai/mistral-nemo-instruct-2407,PARCIAL,279,262,0,217615,2
