episodio,anime,temporada,modeloLlm,totalLinhas,falasTraduzidas,falasDoCache,tempoTotalMs,quantidadeAvisos,registradoEm
Mobile.Suit.Gundam.The.08th.MS.Team.S00E02_Track2.ass,[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,aya-expanse-8b,73,70,0,35614,0,2026-08-16T10:01:50.876230800Z
Mobile.Suit.Gundam.The.08th.MS.Team.S01E01_Track3.ass,[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,aya-expanse-8b,286,282,0,134850,0,2026-08-16T10:04:05.753223500Z
Mobile.Suit.Gundam.The.08th.MS.Team.S01E02_Track3.ass,[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,aya-expanse-8b,267,264,0,124601,1,2026-08-16T10:06:10.369440500Z
Mobile.Suit.Gundam.The.08th.MS.Team.S01E03_Track3.ass,[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,aya-expanse-8b,342,335,0,149237,4,2026-08-16T10:08:39.623181400Z
Mobile.Suit.Gundam.The.08th.MS.Team.S01E04_Track3.ass,[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,aya-expanse-8b,334,328,0,152811,1,2026-08-16T10:11:12.450165500Z
Mobile.Suit.Gundam.The.08th.MS.Team.S01E05_Track3.ass,[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,aya-expanse-8b,378,362,0,143829,4,2026-08-16T10:13:36.298328200Z
Mobile.Suit.Gundam.The.08th.MS.Team.S01E06_Track3.ass,[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,aya-expanse-8b,304,296,0,111126,4,2026-08-16T10:15:27.435457800Z
Mobile.Suit.Gundam.The.08th.MS.Team.S01E07_Track3.ass,[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,aya-expanse-8b,208,203,0,77210,0,2026-08-16T10:16:44.660360600Z
Mobile.Suit.Gundam.The.08th.MS.Team.S01E08_Track3.ass,[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,aya-expanse-8b,301,301,0,123024,0,2026-08-16T10:18:47.696333Z
Mobile.Suit.Gundam.The.08th.MS.Team.S01E09_Track3.ass,[Joseki] Mobile Suit Gundam The 08th MS Team COMPLETE (1996)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,aya-expanse-8b,321,316,0,135593,5,2026-08-16T10:21:03.301401400Z
